type_no,type_name,score_id,time,tone,rest_type,how_to_rest
1,焦燥,4,10,優しく,瞑想,10分程度でできるマインドフルネスメニューを紹介する
1,焦燥,4,10,優しく,瞑想,5分程度でできるマインドフルネスメニューを紹介する
1,焦燥,4,60,優しく,読書推奨,デジタルから離れて読書を推奨する
1,焦燥,4,60,優しく,サウナ,サウナ提案
1,焦燥,4,60,優しく,散歩や軽いランニング,散歩や軽いランニング提案
1,焦燥,4,180,優しく,近場のワーケーション,近場でできるワーケーションを推奨
1,焦燥,4,200,優しく,1泊2日の旅行,1泊2日の旅行を推奨
1,焦燥,3,200,普通,日帰り旅行,日帰り旅行を推奨
1,焦燥,3,200,普通,美術館,美術館鑑賞を推奨
1,焦燥,3,10,普通,瞑想,5分程度でできるマインドフルネスメニューを紹介する
1,焦燥,3,10,普通,瞑想,5分程度でできるマインドフルネスメニューを紹介する
1,焦燥,3,10,普通,瞑想,お気に入りの音楽や自然音を聞くマインドフルネスメニューを紹介する
1,焦燥,3,10,普通,瞑想,アロマ、季節の果実などアロマテラピーによるマインドフルネスメニューを紹介する
1,焦燥,3,60,普通,サウナ,サウナや軽いランニング推奨
1,焦燥,3,180,普通,マッサージ,マッサージでリラックスすることを提案
1,焦燥,3,200,普通,日帰り旅行,日帰り旅行を推奨
1,焦燥,3,200,普通,1泊2日の旅行,1泊2日の旅行を推奨
1,焦燥,3,200,普通,キャンプ,キャンプを推奨
1,焦燥,3,200,普通,美術館,美術館鑑賞を推奨
1,焦燥,3,200,普通,ミュージカル,ミュージカル鑑賞を推奨
1,焦燥,2,10,普通,瞑想,リラックスできるマインドフルネスメニューに関するアドバイスを行う（入浴剤、少し長くお湯につかる、お湯の中でストレッチを行うなど）
1,焦燥,2,10,普通,瞑想,5分程度でできるマインドフルネスメニューを紹介するAPI
1,焦燥,2,10,普通,瞑想,5分程度でできるマインドフルネスメニューを紹介するAPI
1,焦燥,2,60,普通,昼寝推奨,30分程度の昼寝を推奨
1,焦燥,2,60,普通,マッサージ,マッサージでリラックスすることを提案
1,焦燥,2,180,普通,岩盤浴,岩盤浴でリラックスすることを提案
1,焦燥,2,180,普通,睡眠推奨,更にスコアを上げるために睡眠の質が上がるアドバイス
1,焦燥,2,200,普通,森林浴,緑のあるところでゆっくり散歩することを推奨
1,焦燥,2,200,普通,趣味,日常から離れて、趣味に没頭することを推奨
1,焦燥,2,200,普通,スリープツーリズム,空きがあるスリープツーリズムプランを推奨
1,焦燥,1,10,瞑想,深呼吸,呼吸法を勧めて落ち着かせる
1,焦燥,1,10,瞑想,ストレッチ,５分程度でできるマインドフルネスメニューを紹介する
1,焦燥,1,10,瞑想,入浴方法,リラックスできるマインドフルネスメニューに関するアドバイスを行う（入浴剤、少し長くお湯につかる、お湯の中でストレッチを行うなど）
1,焦燥,1,10,瞑想,デトックス,マインドフルネスメニューのアドバイスを行う（夜〇時以降はデジタルから離れること、など）
1,焦燥,1,60,労わる,昼寝推奨,30分程度の昼寝を推奨
1,焦燥,1,60,労わる,食事療法推奨,栄養が取れる食事を意識的に取るよう提案
1,焦燥,1,60,労わる,健康相談推奨,健康相談をすることを推奨
1,焦燥,1,180,労わる,睡眠推奨,睡眠がすべてを癒す旨とセットで、睡眠をとることを推奨。寝れない時は睡眠導入剤
1,焦燥,1,180,労わる,マッサージ,マッサージでリラックスすることを提案
1,焦燥,1,200,労わる,趣味,日常から離れて、趣味に没頭することを推奨
1,焦燥,1,200,労わる,スリープツーリズム,空きがあるスリープツーリズムプランを推奨